Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: blocks,Spreadsheet: state,Spreadsheet: highProbCue,Spreadsheet: lowProbCue,Spreadsheet: outcomes_array,Spreadsheet: answers,Spreadsheet: stimuli_left,Spreadsheet: stimuli_right,Spreadsheet: leftIdx,Spreadsheet: rightIdx,Spreadsheet: loss_blue,Spreadsheet: loss_red,Spreadsheet: xfix,Spreadsheet: xcues,Manipulation: Spreadsheet,Store: amount0,Store: amount,Store: correct,Store: total
1092,1697785823885,20/10/2023 07:10:23,1697789423885,1,20/10/2023 09:10:23,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,66,trial3,4,vtf7vm,4,timedOut,,1503,1503,1503,1503,1503,1503,1,1503,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,red.png,blue.png,2,1,0.1,0,1425.356337,611.8852023,,0.5,35,136,206
1093,1697785825000,20/10/2023 07:10:25,1697789425000,1,20/10/2023 09:10:25,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,67,trial3,1,98ey35,1,timedOut,,1115,1115,1115,1115,1115,1115,1,1115,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1113.921468,906.5564068,,0.5,35,136,206
1094,1697785825568,20/10/2023 07:10:25,1697789425568,1,20/10/2023 09:10:25,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,67,trial3,1,98ey35,1,continue,,1682,1682,1682,1682,1682,1682,1,1682,0,0,,Fixation Timing,Fixation,1,object-117,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1113.921468,906.5564068,,0.5,35,136,206
1095,1697785825903,20/10/2023 07:10:25,1697789425903,1,20/10/2023 09:10:25,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,67,trial3,2,5kfsdz,2,timedOut,,902,902,902,902,902,902,1,902,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1113.921468,906.5564068,,0.5,35,136,206
1096,1697785826081,20/10/2023 07:10:26,1697789426081,1,20/10/2023 09:10:26,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,67,trial3,3,1ggec9,3,response,2,178,169,178,178,169,178,1,178,0,0,,Keyboard Response,Keyboard Response,4,object-282,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1113.921468,906.5564068,,0.5,35,137,207
1097,1697785827563,20/10/2023 07:10:27,1697789427563,1,20/10/2023 09:10:27,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,67,trial3,4,vtf7vm,4,timedOut,,1492,1492,1492,1492,1492,1492,1,1492,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1113.921468,906.5564068,,0.5,35,137,207
1098,1697785828939,20/10/2023 07:10:28,1697789428939,1,20/10/2023 09:10:28,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,68,trial3,1,98ey35,1,timedOut,,1376,1376,1376,1376,1376,1376,1,1376,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1384.557194,835.6010927,,0.5,35,137,207
1099,1697785829525,20/10/2023 07:10:29,1697789429525,1,20/10/2023 09:10:29,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,68,trial3,1,98ey35,1,continue,,1962,1962,1962,1962,1962,1962,1,1962,0,0,,Fixation Timing,Fixation,1,object-117,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1384.557194,835.6010927,,0.5,35,137,207
1100,1697785829777,20/10/2023 07:10:29,1697789429777,1,20/10/2023 09:10:29,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,68,trial3,2,5kfsdz,2,timedOut,,837,837,837,837,837,837,1,837,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1384.557194,835.6010927,,0.5,35,137,207
1101,1697785829925,20/10/2023 07:10:29,1697789429925,1,20/10/2023 09:10:29,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,68,trial3,3,1ggec9,3,response,2,148,136,148,148,136,148,1,148,0,0,,Keyboard Response,Keyboard Response,4,object-282,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1384.557194,835.6010927,,0.5,35,138,208
1102,1697785831404,20/10/2023 07:10:31,1697789431404,1,20/10/2023 09:10:31,0,0,,,32375454,,9574456,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1792x1120,1792x949,,,0,ActionLearning_v3 (Clone),3,trial_list_v2,68,trial3,4,vtf7vm,4,timedOut,,1492,1492,1492,1492,1492,1492,1,1492,0,0,,Time Limit,screen,0,screen,trial3,6,3,0.8,1,2,1,2,blue.png,red.png,1,2,0.1,0,1384.557194,835.6010927,,0.5,35,138,208
